"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","Url"
"1","El principito","Antoine de Saint-Exupery","Publicaciones y Ediciones Salamandra, S.A.",9249,4.31,1396114,96,"Paperback","https://www.bookdepository.com/es/El-principito-Antoine-de-Saint-Exupery/9788498381498?ref=grid-view"
"2","Trono de Cristal #1 / Throne of Glass #1","Sarah J Maas","Alfaguara Juvenil",20967,4.2,617582,528,"Paperback","https://www.bookdepository.com/es/Trono-de-Cristal-1-Throne-Glass-1-Sarah-J-Maas/9786073143714?ref=grid-view"
"3","El Principito/ The Little Prince","Antoine de Saint-Exupery","Planeta Publishing",7819,4.31,1396114,109,"Paperback","https://www.bookdepository.com/es/El-Principito-Little-Prince-Antoine-de-Saint-Exupery/9789500426404?ref=grid-view"
"4","Trono de Cristal #3. Heredera del Fuego / Heir of Fire #3","Sarah J Mass","Alfaguara Juvenil",20717,4.47,292880,696,"Paperback","https://www.bookdepository.com/es/Trono-de-Cristal-3-Heredera-del-Fuego-Heir-Fire-3-Sarah-J-Mass/9786073140683?ref=grid-view"
"5","El Principito (Spanish)","Antoine de Saint-Exupery","Cengage Learning, Inc",11994,4.31,1396114,96,"Paperback","https://www.bookdepository.com/es/El-Principito-Spanish-Antoine-de-Saint-Exupery/9780156013925?ref=grid-view"
"6","Spanish for Beginners","A Wilkes","Usborne Publishing Ltd",11635,3.78,74,48,"Paperback","https://www.bookdepository.com/es/Spanish-for-Beginners-Wilkes/9780746000588?ref=grid-view"
"7","El Ladron del Rayo/ The Lightning Thief","Rick Riordan","Salamandra Infantil y juvenil",13827,4.26,2028864,285,"Paperback","https://www.bookdepository.com/es/El-Ladron-del-Rayo-Lightning-Thief-Rick-Riordan/9788498386264?ref=grid-view"
"8","Harry Potter Y La Piedra Filosofal / Harry Potter and the Sorcerer's Stone","J K Rowling","Salamandra Infantil y juvenil",15765,4.47,7170497,254,"Paperback","https://www.bookdepository.com/es/Harry-Potter-Y-La-Piedra-Filosofal-Harry-Potter-Sorcerers-Stone-J-K-Rowling/9788498386943?ref=grid-view"
"9","Trono de Cristal #2. Corona de Medianoche / Crown of Midnight #2","Sarah J Mass","Alfaguara Juvenil",17899,4.41,353784,528,"Paperback","https://www.bookdepository.com/es/Trono-de-Cristal-2-Corona-de-Medianoche-Crown-Midnight-2-Sarah-J-Mass/9786073143691?ref=grid-view"
"10","Los juegos del hambre (vol.1)","Suzanne Collins","Editorial Molino",20978,4.32,6456823,396,"Paperback","https://www.bookdepository.com/es/Los-juegos-del-hambre-vol-1-Suzanne-Collins/9788427202122?ref=grid-view"
